state,Democrat,Republican,state_code,Electoral Votes,Republican_electoral_votes,Democrat_electoral_votes,preference_ratio
Alabama,849648,1441168,AL,9.0,9.0,0.0,1.0
Alaska,153405,189892,AK,3.0,3.0,0.0,1.0
Arizona,1672143,1661686,AZ,11.0,0.0,11.0,0.0
Arkansas,423932,760647,AR,6.0,6.0,0.0,1.0
California,11109764,6005961,CA,55.0,0.0,55.0,0.0
Colorado,1804352,1364607,CO,9.0,0.0,9.0,0.0
Connecticut,1080680,715291,CT,7.0,0.0,7.0,0.0
Delaware,296268,200603,DE,3.0,0.0,3.0,0.0
District of Columbia,317323,18586,,,0.0,,
Florida,5297045,5668731,FL,29.0,29.0,0.0,1.0
Georgia,2473633,2461854,GA,16.0,0.0,16.0,0.0
Hawaii,366130,196864,HI,4.0,0.0,4.0,0.0
Idaho,287021,554119,ID,4.0,4.0,0.0,1.0
Illinois,4253153,2823926,IL,20.0,0.0,20.0,0.0
Indiana,1242495,1729852,IN,11.0,11.0,0.0,1.0
Iowa,759061,897672,IA,6.0,6.0,0.0,1.0
Kansas,558669,758100,KS,6.0,6.0,0.0,1.0
Kentucky,772474,1326646,KY,8.0,8.0,0.0,1.0
Louisiana,856034,1255776,LA,8.0,8.0,0.0,1.0
Maine,430473,359899,ME,4.0,0.0,4.0,0.0
Maryland,1985023,976414,MD,10.0,0.0,10.0,0.0
Massachusetts,2382202,1167202,MA,11.0,0.0,11.0,0.0
Michigan,2804040,2649852,MI,16.0,0.0,16.0,0.0
Minnesota,1717077,1484065,MN,10.0,0.0,10.0,0.0
Mississippi,539398,756764,MS,6.0,6.0,0.0,1.0
Missouri,1253014,1718736,MO,10.0,10.0,0.0,1.0
Montana,244786,343602,MT,3.0,3.0,0.0,1.0
Nebraska,374583,556846,NE,5.0,5.0,0.0,1.0
Nevada,703486,669890,NV,6.0,0.0,6.0,0.0
New Hampshire,424921,365654,NH,4.0,0.0,4.0,0.0
New Jersey,2608335,1883274,NJ,14.0,0.0,14.0,0.0
New Mexico,501614,401894,NM,5.0,0.0,5.0,0.0
New York,5244006,3250230,NY,29.0,0.0,29.0,0.0
North Carolina,2684292,2758773,NC,15.0,15.0,0.0,1.0
North Dakota,114902,235595,ND,3.0,3.0,0.0,1.0
Ohio,2679165,3154834,OH,18.0,18.0,0.0,1.0
Oklahoma,503890,1020280,OK,7.0,7.0,0.0,1.0
Oregon,1340383,958448,OR,7.0,0.0,7.0,0.0
Pennsylvania,3459923,3378263,PA,20.0,0.0,20.0,0.0
Rhode Island,306210,199837,RI,4.0,0.0,4.0,0.0
South Carolina,1091541,1385103,SC,9.0,9.0,0.0,1.0
South Dakota,150471,261043,SD,3.0,3.0,0.0,1.0
Tennessee,1143913,1852948,TN,11.0,11.0,0.0,1.0
Texas,5259126,5890347,TX,38.0,38.0,0.0,1.0
Utah,560282,865140,UT,6.0,6.0,0.0,1.0
Vermont,242820,112704,VT,3.0,0.0,3.0,0.0
Virginia,2413568,1962430,VA,13.0,0.0,13.0,0.0
Washington,2369612,1584651,WA,12.0,0.0,12.0,0.0
West Virginia,235984,545382,WV,5.0,5.0,0.0,1.0
Wisconsin,1630673,1610065,WI,10.0,0.0,10.0,0.0
Wyoming,73491,193559,WY,3.0,3.0,0.0,1.0
